Election,CandidateList,CandidateVote
1789,John Jay,9
1789,Robert Harrison,6
1789,John Rutledge,6
1789,John Hancock,4
1789,George Clinton,3
1789,Samuel Huntington,2
1789,James Armstrong,1
1789,Benjamin Lincoln,1
1789,Edward Telfair,1
1792,George Clinton,50
1792,Thomas Jefferson,4
1792,Aaron Burr,1
1796,Thomas Pinckney,59
1796,Aaron Burr,30
1796,Samuel Adams,15
1796,Ellsworth,11
1796,George Clinton,7
1796,John Jay,5
1796,James Iredell,3
1796,Johnston,2
1796,George Washington,2
1796,John Henry,2
1800,John Adams,65
1800,Charles Pinckney,64
1800,John Jay,1
1804,,
1808,George Clinton,6
1812,,
1816,,
1820,,
1824,William Crawford,41
1824,Henry Clay,37
1828,,
1832,John Floyd,11
1832,William Wirt,7
1836,Hugh White,26
1836,Daniel Webster,14
1840,,
1844,,
1848,,
1852,,
1856,Millard Fillmore,8
1860,John Bell,39
1864,,
1868,,
1872,Gratz Brown,18
1872,Thomas Hendricks,42
1872,Jenkins,2
1872,David Davis,1
1876,,
1880,,
1884,,
1888,,
1892,James Weaver,22
1896,,
1900,,
1904,,
1908,,
1912,William Taft,8
1916,,
1920,,
1924,Robert LaFollette,13
1928,,
1932,,
1936,,
1940,,
1944,,
1948,Strom Thurmond,39
1952,,
1956,Walter Jones,1
1960,Harry Byrd,15
1964,,
1968,George Wallace,46
1972,John Hospers,1
1976,Ronald Reagan,1
1980,,
1984,,
1988,Lloyd Bentsen,1
1992,,
1996,,
2000,,
2004,John Edwards,1
2008,,
2012,,
2016,,
