"Election","cand","pollrate"
"1936","Franklin Roosevelt","61"
"1936","Alfred Landon","37"
"1940","Franklin Roosevelt","55"
"1940","Wendell Willkie","45"
"1944","Franklin Roosevelt","53"
"1944","Thomas Dewey","46"
"1948","Harry Truman","50"
"1948","Thomas Dewey","45"
"1948","Henry Wallace","2"
"1948","Strom Thurmond","2"
"1952","Dwight Eisenhower","55"
"1952","Adlai Stevenson","44"
"1956","Dwight Eisenhower","57"
"1956","Adlai Stevenson","42"
"1960","John Kennedy","50"
"1960","Richard Nixon","50"
"1964","Lyndon Johnson","61"
"1964","Barry Goldwater","38"
"1968","Richard Nixon","43"
"1968","Hubert Humphrey","43"
"1968","George Wallace","14"
"1972","Richard Nixon","61"
"1972","George McGovern","38"
"1976","Jimmy Carter","50"
"1976","Gerald Ford","48"
"1980","Ronald Reagan","51"
"1980","Jimmy Carter","41"
"1980","John Anderson","7"
"1984","Ronald Reagan","59"
"1984","Walter Mondale","41"
"1988","George Bush","53"
"1988","Michael Dukakis","46"
"1992","Bill Clinton","43"
"1992","George Bush","37"
"1992","Ross Perot","19"
"1996","Bill Clinton","49"
"1996","Bob Dole","41"
"1996","Ross Perot","8"
"2000","George Bush","48"
"2000","Al Gore","48"
"2000","Ralph Nader","3"
"2004","George Bush","51"
"2004","John Kerry","48"
"2008","Barack Obama","53"
"2008","John McCain","46"
"2012","Barack Obama","51"
"2012","Mitt Romney","47"
"2016","Donald Trump","46"
"2016","Hillary Clinton","48"
"2016","Gary Johnson","3"
"2016","Jill Stein","1"
